nome,marca,modelo,ref,link,valor
MOUSE USB GAMER 5000DPI RGB MASTER HOOPSON GT-850,HOOPSON,GT850, 1,https://www.megamaisdistribuidora.com.br/15/mouse-com-fio/mouse-usb-gamer-5000dpi-rgb-master-hoopson-gt-850,"183,92"
ADAPTADOR WIRELESS HIGH GAIN USB 300MBPS TP-LINK TL-WN822,TP-LINK,TL-WN822, 1,https://www.megamaisdistribuidora.com.br/15/adaptadores-e-conversores/adaptador-wireless-high-gain-usb-300mbps-tp-link-tl-wn822,"166,80"
CABO DE REDE CAT5 MULTITOC ROLO 50 METROS BRANCO,MULTITOC,CAT5, 1,https://www.megamaisdistribuidora.com.br/15/cabo/cabo-de-rede-cat5-multitoc-rolo-50-metros-branco,"44,40"
CABO VGA MACHO/MACHO 2 METROS 1515-2M EXBOM/CHIPSCE 018-1515,PLUSCABLE,HD 1.8, 1,https://www.megamaisdistribuidora.com.br/cabo-vga-macho/macho-2-metros-1515-2m-exbom/chipsce-018-1515,"15,60"
"HD EXTERNO 2,5 1 TERA USB 3.0 SEAGATE STKM1000400",SEAGATE,STEA1000400, 5,https://www.megamaisdistribuidora.com.br/15/hd-externo/hd-externo-2-5-1tb-usb-3-0-seagate-stea1000400,"535,20"
ADAPTADOR DVI FEMEA X HDMI MACHO DEX,DEX,DH10M, 1,https://www.megamaisdistribuidora.com.br/15/adaptadores-e-conversores/adaptador-dvi-i-femea-x-hdmi-macho-dex,"11,90"
ADAPTADOR V8 MACHO PARA USB FÊMEA IT-BLUE LE-04,EXBOM/IT-BLUE,LE-04, 1,https://www.megamaisdistribuidora.com.br/adaptador-v8-macho-para-usb-femea-it-blue-le-04,"6,00"
APOIO DE COLO PARA NOTEBOOK OEX AC-100 PRETO,OEX,AC100, 1,https://www.megamaisdistribuidora.com.br/15/mouse-pad/base-p-mouse-gel-rosa-maxprint-60549-5,"130,00"
CABO DE REDE AZUL 01 METRO (VENDIDO POR METRO),MULTITOC / ELGIN,CAT5, 1,https://www.megamaisdistribuidora.com.br/15/cabo/cabo-4-pares-azul-1-mts-multitoc,"2,00"
MOUSE WIRELESS COSY OEX MS-409 PRETO/AZUL,OEX,MS-409, 1,https://www.megamaisdistribuidora.com.br/mouse-wireless-cosy-oex-ms-409-preto/azul,"38,40"
CONVERSOR MINI DISPLAYPORT X VGA LOTUS/F3 JC-CB-MVGA,F3,JC-CB-MVGA, 1,https://www.megamaisdistribuidora.com.br/adaptadores-e-conversores/conversor-mini-displayport-x-vga-lotus,"43,20"
DIVISOR SPLITTER RCA 01 ENTRADA X 4 SAIDAS LOTUS LT-672/AV-104,LOTUS,AV-104, 1,https://www.megamaisdistribuidora.com.br/15/diversos/divisor-splitter-rca-01-entrada-x-4-saidas-lotus-lt-672,"82,80"
MINI CAIXA DE SOM USB 5W RMS BRIGHT PRETA 0359,BRIGHT,0359, 1,https://www.megamaisdistribuidora.com.br/15/caixa-de-som/mini-caixa-de-som-usb-5w-rms-bright-preta-0359,"34,80"
MEMORIA DDR3 1333 04GB PARA NOTEBOOK MICRON/INNIX,MICRON,PC3 10600S, 1,https://www.megamaisdistribuidora.com.br/15/memorias/memoria-ddr3-1333-04gb-para-notebook-micron,"154,80"
MOUSE USB 1000DPI INFOWISE 2013 PRETO/AZUL,INFOWISE,2013, 1,https://www.megamaisdistribuidora.com.br/15/mouse-com-fio/mouse-usb-1000dpi-infowise-2013-pretoazul,"22,80"
MESA PARA COMPUTADOR BRIGHT 0589 PRETO,BRIGHT,0589, 3,https://www.megamaisdistribuidora.com.br/15/mouse-pad/mouse-pad-apoio-para-pulso-em-gel-x-cell-xc-mpd-05-azul,"330,00"
ESTABILIZADOR POWEREST 2500VA TS SHARA BIVOLT/115V 9013,TS SHARA,9013, 6,https://www.megamaisdistribuidora.com.br/15/mouse-com-fio/mouse-usb-optico-preto-maxprint-60607-1,"642,00"
GABINETE GAMER S/FONTE PIXXO CGAX3 PRETO,PIXXO,CGAX3, 5,https://www.megamaisdistribuidora.com.br/15/gabinete/gabinete-gamer-sfonte-pixxo-htl017b06s-preto,"506,40"
FONTE ELETRONICA CHAVEADA CFTV 12V 7A EXBOM 1882 / INFOKIT UV12A05,EXBOM/INFOKIT,IF-UV12A05, 1,https://www.megamaisdistribuidora.com.br/15/fonte/fonte-eletronica-chaveada-cftv-12v-7a-exbom-1882,"38,72"
"HD EXTERNO 4 TERAS  2,5 SEAGATE STEA4000400",SEAGATE,STEA4000400, 6,https://www.megamaisdistribuidora.com.br/15/hd-externo/hd-externo-4-teras-2-5-seagate-stea4000400,"1.142,40"
MOUSE USB 1000DPI INFOWISE 2011 PRETO,INFOWISE,2011, 1,https://www.megamaisdistribuidora.com.br/15/mouse-com-fio/mouse-usb-1000dpi-infowise-2011-preto,"22,80"
MOUSE USB GAMER HP G200 PRETO,hp ,G200, 2,https://www.megamaisdistribuidora.com.br/15/mouse-com-fio/mouse-usb-gamer-hp-g200-preto,"207,60"
MOUSE SEM FIO LOGITECH M185 AZUL,LOGITECH,M185, 1,https://www.megamaisdistribuidora.com.br/15/mouse-sem-fio/mouse-sem-fio-logitech-m185-azul,"87,60"
